project_id,project_name,project_type,client_id,project_manager_id,location,plot_number,dm_permit_no,contract_value_aed,start_date,end_date,status,completion_pct,gfa_sqm,floors,description,duration_days,elapsed_days,remaining_days,budget_variance_pct,total_cost,total_revenue,profit,risk_score,health_status,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
PRJ-001,Al Khail Heights Tower,High-Rise Residential Tower,CL-035,EMP-0053,Al Quoz Industrial,Plot 114-42,DM-2023-893612,221570227,2023-12-14,2027-02-26,On Hold,71,144207,25,High-Rise Residential Tower project in Business Bay,1170,810,360,-3.5,151808042,157314861,5506819,3.6,Amber,—,2023-12-14T17:46:00,2023-12-14T17:46:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration,High Incident Rate"
PRJ-002,Business Bay Plaza,Infrastructure - Bridges,CL-020,EMP-0049,DIFC,Plot 492-65,DM-2021-717265,126475476,2021-06-08,2023-08-27,Completed,100,85246,3,Commercial Office Building project in Downtown Dubai,810,810,0,5.81,133818316,126475476,-7342840,1.7,Green,—,2021-06-08T11:18:00,2021-06-08T11:18:00,system@alrashdeng.ae,1,True,High Budget
PRJ-003,Marina Residences Phase 2,Retail Mall,CL-022,EMP-0069,JLT,Plot 450-63,DM-2021-476701,395751780,2021-07-10,2024-11-21,Completed,100,54394,3,Industrial Warehouse project in Business Bay,1230,1230,0,0.61,398160532,395751780,-2408752,3.5,Amber,—,2021-07-10T10:14:00,2021-07-10T10:14:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration,High Incident Rate"
PRJ-004,Downtown Commercial Tower,Marine & Coastal Works,CL-033,EMP-0050,DIFC,Plot 475-92,DM-2021-782141,118381891,2021-04-14,2022-12-05,Completed,100,14794,49,Utility Infrastructure project in Dubai Creek Harbour,600,600,0,7.02,126695020,118381891,-8313129,4.5,Amber,—,2021-04-14T15:39:00,2021-04-14T15:39:00,system@alrashdeng.ae,1,True,High Budget
PRJ-005,Palm Beach Villas,Utility Infrastructure,CL-007,EMP-0083,Business Bay,Plot 149-89,DM-2020-221414,323860554,2020-04-08,2021-07-02,Completed,100,114255,8,Industrial Warehouse project in DIFC,450,450,0,14.84,371922778,323860554,-48062224,6.0,Amber,—,2020-04-08T15:16:00,2020-04-08T15:16:00,system@alrashdeng.ae,1,True,"High Budget,High Incident Rate"
PRJ-006,Creek Harbour Mixed-Use,Utility Infrastructure,CL-001,EMP-0059,Expo City,Plot 777-13,DM-2023-794663,381812631,2023-02-04,2026-07-18,In Progress,36,141395,5,Marine & Coastal Works project in JLT,1260,1123,137,5.86,145501439,137452547,-8048892,2.7,Green,—,2023-02-04T13:53:00,2023-02-04T13:53:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-007,Dubai South Logistics Hub,Commercial Office Building,CL-019,EMP-0008,DIFC,Plot 609-26,DM-2024-738584,279654988,2024-07-19,2026-01-10,Completed,100,57363,5,Retail Mall project in Dubai Hills Estate,540,540,0,6.56,298008707,279654988,-18353719,4.5,Amber,—,2024-07-19T12:45:00,2024-07-19T12:45:00,system@alrashdeng.ae,1,True,"High Budget,High Incident Rate"
PRJ-008,JVC Community Center,Retail Mall,CL-032,EMP-0053,Al Barsha,Plot 438-31,DM-2020-102871,163565470,2020-10-30,2023-12-14,Completed,100,8342,2,Commercial Office Building project in Sheikh Zayed Road,1140,1140,0,-10.19,146900124,163565470,16665346,3.1,Amber,—,2020-10-30T17:31:00,2020-10-30T17:31:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-009,DIFC Office Tower,Commercial Office Building,CL-047,EMP-0103,DIFC,Plot 362-83,DM-2021-342389,53362767,2021-12-14,2023-09-05,Completed,100,124734,38,Infrastructure - Roads project in JVC,630,630,0,8.39,57837654,53362767,-4474887,6.0,Amber,—,2021-12-14T07:06:00,2021-12-14T07:06:00,system@alrashdeng.ae,1,True,High Incident Rate
PRJ-010,Meydan One Mall Extension,Infrastructure - Roads,CL-024,EMP-0107,JAFZA,Plot 536-95,DM-2022-221531,474300580,2022-04-25,2024-03-15,Completed,100,29903,1,High-Rise Residential Tower project in JLT,690,690,0,-13.82,408768060,474300580,65532520,5.2,Amber,—,2022-04-25T17:41:00,2022-04-25T17:41:00,system@alrashdeng.ae,1,True,High Budget
PRJ-011,Expo City Pavilion,Hotel & Hospitality,CL-040,EMP-0058,Dubai Marina,Plot 481-44,DM-2021-291752,181448439,2021-08-05,2023-05-27,Completed,100,34840,7,Industrial Warehouse project in JVC,660,660,0,-4.27,173693009,181448439,7755430,2.1,Green,—,2021-08-05T11:53:00,2021-08-05T11:53:00,system@alrashdeng.ae,1,True,High Budget
PRJ-012,Al Quoz Warehouse Complex,Mixed-Use Development,CL-008,EMP-0049,Downtown Dubai,Plot 964-21,DM-2023-208751,375388547,2023-08-02,2026-07-17,On Hold,63,114059,10,Hotel & Hospitality project in Sheikh Zayed Road,1080,944,136,4.47,247055209,236494784,-10560425,2.6,Green,—,2023-08-02T17:28:00,2023-08-02T17:28:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
PRJ-013,JLT Office Renovation,Infrastructure - Bridges,CL-040,EMP-0003,JLT,Plot 594-63,DM-2023-218423,333201620,2023-04-02,2025-02-20,Completed,100,112815,8,High-Rise Residential Tower project in Dubai Marina,690,690,0,-3.61,321181449,333201620,12020171,1.9,Green,—,2023-04-02T11:41:00,2023-04-02T11:41:00,system@alrashdeng.ae,1,True,High Budget
PRJ-014,Dubai Hills Villa Cluster,Utility Infrastructure,CL-034,EMP-0105,Sheikh Zayed Road,Plot 841-73,DM-2021-334865,11635836,2021-01-29,2023-09-16,Completed,100,180595,6,Retail Mall project in Deira,960,960,0,6.14,12349932,11635836,-714096,3.4,Amber,—,2021-01-29T16:06:00,2021-01-29T16:06:00,system@alrashdeng.ae,1,True,High Incident Rate
PRJ-015,Deira Waterfront,Hotel & Hospitality,CL-023,EMP-0091,DIP,Plot 252-72,DM-2020-742686,360254603,2020-02-20,2023-05-05,Completed,100,19304,1,Utility Infrastructure project in Palm Jumeirah,1170,1170,0,6.8,384750327,360254603,-24495724,4.1,Amber,—,2020-02-20T15:54:00,2020-02-20T15:54:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration,High Incident Rate"
PRJ-016,Bur Dubai Heritage Hotel,Mixed-Use Development,CL-005,EMP-0105,Al Barsha,Plot 428-31,DM-2020-446968,462344840,2020-12-03,2024-05-16,Completed,100,77917,1,Retail Mall project in Meydan,1260,1260,0,-0.12,461767130,462344840,577710,2.1,Green,—,2020-12-03T15:41:00,2020-12-03T15:41:00,system@alrashdeng.ae,1,True,"High Budget,Long Duration"
